project_id,Activity ID,Activity Name,Predecessors,Predecessor Details,Successors
The Big -P.01-UP-20-April-26,CON-B04-3RD-1010,"RFT for Walls, Col. & Cores (B04) (3rd)","CON-B04-3RD-1000, CON-B04-3RD-1000, E-APP-B04-2RD-1000, P-MDEL-1100","CON-B04-3RD-1000: SS 3, CON-B04-3RD-1000: FF, E-APP-B04-2RD-1000: FS, P-MDEL-1100: FS","CON-B04-3RD-1020, CON-B04-3RD-1020"
The Big -P.01-UP-20-April-26,CON-B04-3RD-1050,"RFT for Slabs, Beams & Stairs (B04) (3rd)","CON-B04-3RD-1040, CON-B04-3RD-1040, E-APP-B04-2RD-1010, E-APP-B04-2RD-1020, E-APP-B04-2RD-1030, P-MDEL-1100","CON-B04-3RD-1040: SS 4, CON-B04-3RD-1040: FF, E-APP-B04-2RD-1010: FS, E-APP-B04-2RD-1020: FS, E-APP-B04-2RD-1030: FS, P-MDEL-1100: FS",CON-B04-3RD-1060
The Big -P.01-UP-20-April-26,CON-B01-4TH-1010,"RFT for Walls, Col. & Cores (B01) (4th)","CON-B01-4TH-1000, CON-B01-4TH-1000, E-APP-B01-4TH-1000, E-APP-B01-4TH-1010, E-APP-B01-4TH-1020, E-APP-B01-4TH-1030, P-MDEL-1090","CON-B01-4TH-1000: SS 3, CON-B01-4TH-1000: FF, E-APP-B01-4TH-1000: FS, E-APP-B01-4TH-1010: FS, E-APP-B01-4TH-1020: FS, E-APP-B01-4TH-1030: FS, P-MDEL-1090: FS","CON-B01-4TH-1020, CON-B01-4TH-1020"
The Big -P.01-UP-20-April-26,CON-B01-4TH-1050,"RFT for Slabs, Beams & Stairs (B01) (4th)","CON-B01-4TH-1040, CON-B01-4TH-1040, P-MDEL-1090","CON-B01-4TH-1040: SS 4, CON-B01-4TH-1040: FF, P-MDEL-1090: FS",CON-B01-4TH-1060
The Big -P.01-UP-20-April-26,CON-B02-4TH-1010,"RFT for Walls, Col. & Cores (B02) (4th)","CON-B02-4TH-1000, CON-B02-4TH-1000, E-APP-B02-4TH-1000, P-MDEL-1090","CON-B02-4TH-1000: SS 2, CON-B02-4TH-1000: FF, E-APP-B02-4TH-1000: FS, P-MDEL-1090: FS","CON-B02-4TH-1020, CON-B02-4TH-1020"
The Big -P.01-UP-20-April-26,CON-B02-4TH-1050,"RFT for Slabs, Beams & Stairs (B02) (4th)","CON-B02-4TH-1040, CON-B02-4TH-1040, E-APP-B02-4TH-1010, E-APP-B02-4TH-1020, E-APP-B02-4TH-1030, P-MDEL-1090","CON-B02-4TH-1040: SS 3, CON-B02-4TH-1040: FF, E-APP-B02-4TH-1010: FS, E-APP-B02-4TH-1020: FS, E-APP-B02-4TH-1030: FS, P-MDEL-1090: FS",CON-B02-4TH-1060
The Big -P.01-UP-20-April-26,CON-B03-4TH-1010,"RFT for Walls, Col. & Cores (B03) (4th)","CON-B03-4TH-1000, CON-B03-4TH-1000, E-APP-B03-4TH-1000, P-MDEL-1090","CON-B03-4TH-1000: SS 3, CON-B03-4TH-1000: FF, E-APP-B03-4TH-1000: FS, P-MDEL-1090: FS","CON-B03-4TH-1020, CON-B03-4TH-1020"
The Big -P.01-UP-20-April-26,CON-B03-4TH-1050,"RFT for Slabs, Beams & Stairs (B03) (4th)","CON-B03-4TH-1040, CON-B03-4TH-1040, E-APP-B03-4TH-1010, E-APP-B03-4TH-1020, E-APP-B03-4TH-1030, P-MDEL-1090","CON-B03-4TH-1040: SS 4, CON-B03-4TH-1040: FF, E-APP-B03-4TH-1010: FS, E-APP-B03-4TH-1020: FS, E-APP-B03-4TH-1030: FS, P-MDEL-1090: FS",CON-B03-4TH-1060
The Big -P.01-UP-20-April-26,CON-B04-4TH-1010,"RFT for Walls, Col. & Cores (B04) (4th)","CON-B04-4TH-1000, CON-B04-4TH-1000, E-APP-B04-4TH-1000, P-MDEL-1090","CON-B04-4TH-1000: SS 3, CON-B04-4TH-1000: FF, E-APP-B04-4TH-1000: FS, P-MDEL-1090: FS","CON-B04-4TH-1020, CON-B04-4TH-1020"
The Big -P.01-UP-20-April-26,CON-B04-4TH-1050,"RFT for Slabs, Beams & Stairs (B04) (4th)","CON-B04-4TH-1040, CON-B04-4TH-1040, E-APP-B04-4TH-1010, E-APP-B04-4TH-1020, E-APP-B04-4TH-1030, P-MDEL-1090","CON-B04-4TH-1040: SS 4, CON-B04-4TH-1040: FF, E-APP-B04-4TH-1010: FS, E-APP-B04-4TH-1020: FS, E-APP-B04-4TH-1030: FS, P-MDEL-1090: FS",CON-B04-4TH-1060
