Actual Duration,Activity ID,Activity Name,WBS,project_id,Original Duration,Remaining Duration,BL Project Start,BL Project Finish,Start,Finish,Free Float,Total Float,Variance - BL1 Nonlabor Units,Variance - BL Project Nonlabor Units,Actual Nonlabor Units,Remaining Nonlabor Units,Predecessors,Successors,Budgeted Nonlabor Units,Activity % Complete,Critical,Longest Path
0.0,CON-B02-FOOT-1000,Shuttering for PC Raft (B02) (footing),Approved Baseline.CON.P02.B02.SUB.F,The Big -P.01-UP-20-April-26,1.0,1.0,9-Dec-25,9-Dec-25,9-Dec-25,9-Dec-25,0.0,0.0,0.0,0.0,0.0,0.0,"E-APP-B02-FOOT-1000, CON-EW-B02-1010, P-MDEL-1020","CON-B02-FOOT-1010, AB-SUB-B02-FOOT-1000",0.0,0%,Yes,Yes
0.0,CON-B04-WT-1080,Pouring for RC Raft (B04) (Water Tank),Approved Baseline.CON.P01.B04.SUB.3.2,The Big -P.01-UP-20-April-26,2.0,2.0,9-Dec-25,10-Dec-25,9-Dec-25,10-Dec-25,0.0,0.0,0.0,0.0,0.0,0.0,"CON-B04-WT-1070, P-MDEL-1030",CON-B04-WT-1090,0.0,0%,Yes,Yes
0.0,CON-B02-FOOT-1010,Pouring for PC Raft (B02) (footing),Approved Baseline.CON.P02.B02.SUB.F,The Big -P.01-UP-20-April-26,1.0,1.0,10-Dec-25,10-Dec-25,10-Dec-25,10-Dec-25,0.0,0.0,0.0,0.0,0.0,0.0,"CON-B02-FOOT-1000, P-MDEL-1030","CON-B02-FOOT-1020, AB-SUB-B02-FOOT-1000",0.0,0%,Yes,Yes
0.0,CON-B02-FOOT-1020,Curing for PC Raft (B02) (footing),Approved Baseline.CON.P02.B02.SUB.F,The Big -P.01-UP-20-April-26,3.0,3.0,11-Dec-25,13-Dec-25,11-Dec-25,13-Dec-25,0.0,0.0,0.0,0.0,0.0,0.0,CON-B02-FOOT-1010,"CON-B02-FOOT-1030, CON-B02-FOOT-1030",0.0,0%,Yes,Yes
0.0,CON-B04-WT-1090,Curing & Deshuttering for RC Raft (B04) (Water Tank),Approved Baseline.CON.P01.B04.SUB.3.2,The Big -P.01-UP-20-April-26,3.0,3.0,11-Dec-25,13-Dec-25,11-Dec-25,13-Dec-25,0.0,0.0,0.0,0.0,0.0,0.0,CON-B04-WT-1080,CON-B04-WT-1100,0.0,0%,Yes,Yes
0.0,CON-B04-WT-1100,Shuttering for Walls (B04) (Water Tank),Approved Baseline.CON.P01.B04.SUB.3.2,The Big -P.01-UP-20-April-26,8.0,8.0,13-Dec-25,21-Dec-25,13-Dec-25,21-Dec-25,0.0,0.0,0.0,0.0,0.0,0.0,"CON-B04-WT-1090, E-APP-B04-WT-1030","CON-B04-WT-1110, AB-SUB-B04-WT-1030, CON-B04-WT-1110",0.0,0%,Yes,Yes
0.0,CON-B04-WT-1110,RFT for Walls (B04) (Water Tank),Approved Baseline.CON.P01.B04.SUB.3.2,The Big -P.01-UP-20-April-26,8.0,8.0,13-Dec-25,21-Dec-25,13-Dec-25,21-Dec-25,0.0,0.0,0.0,0.0,0.0,0.0,"CON-B04-WT-1100, CON-B04-WT-1100, E-APP-B04-WT-1030, P-MDEL-1000","CON-B04-WT-1120, CON-B04-WT-1130, AB-SUB-B04-WT-1030",0.0,0%,Yes,Yes
0.0,CON-B02-FOOT-1030,Waterproofing & Ins. Protection works (B02) (footing),Approved Baseline.CON.P02.B02.SUB.F,The Big -P.01-UP-20-April-26,2.0,2.0,14-Dec-25,15-Dec-25,14-Dec-25,15-Dec-25,0.0,0.0,0.0,0.0,0.0,0.0,"CON-B02-FOOT-1020, P-MDEL-1040, E-APP-B02-FOOT-1030, CON-B02-FOOT-1020","CON-B02-FOOT-1040, CON-B02-FOOT-1040",0.0,0%,Yes,Yes
0.0,CON-B02-FOOT-1040,Shuttering for RC Raft & Footings (B02) (footing),Approved Baseline.CON.P02.B02.SUB.F,The Big -P.01-UP-20-April-26,10.0,10.0,17-Dec-25,28-Dec-25,17-Dec-25,28-Dec-25,0.0,0.0,0.0,0.0,0.0,0.0,"CON-B02-FOOT-1030, E-APP-B02-FOOT-1010, CON-B02-FOOT-1030","CON-B02-FOOT-1050, AB-SUB-B02-FOOT-1010, CON-B02-FOOT-1050, CON-B02-FOOT-1060",0.0,0%,Yes,Yes
0.0,CON-B04-WT-1120,Installation for Waterstop Insulation (B04) (Water Tank),Approved Baseline.CON.P01.B04.SUB.3.2,The Big -P.01-UP-20-April-26,4.0,4.0,17-Dec-25,21-Dec-25,17-Dec-25,21-Dec-25,0.0,0.0,0.0,0.0,0.0,0.0,"CON-B04-WT-1110, P-MDEL-1050",CON-B04-WT-1130,0.0,0%,Yes,Yes
0.0,CON-B01-FOOT-1090,Pouring for RC Raft & Footings (B01) (footing),Approved Baseline.CON.P02.B01.SUB.F,The Big -P.01-UP-20-April-26,2.0,2.0,20-Dec-25,21-Dec-25,20-Dec-25,21-Dec-25,0.0,0.0,0.0,0.0,0.0,0.0,"CON-B01-FOOT-1050, P-MDEL-1030","CON-B01-FOOT-1100, AB-SUB-B01-FOOT-1020, AB-SUB-B01-FOOT-1030",0.0,0%,Yes,Yes
0.0,CON-B02-FOOT-1050,RFT for RC Raft & Footings (B02) (footing),Approved Baseline.CON.P02.B02.SUB.F,The Big -P.01-UP-20-April-26,10.0,10.0,20-Dec-25,30-Dec-25,20-Dec-25,30-Dec-25,0.0,0.0,0.0,0.0,0.0,1.0,"CON-B02-FOOT-1040, E-APP-B02-FOOT-1020, CON-B02-FOOT-1040, P-MDEL-1000","CON-B02-FOOT-1090, AB-SUB-B02-FOOT-1020",1.0,0%,Yes,Yes
0.0,CON-B01-FOOT-1100,Curing & Deshuttering for RC Raft & Footings (B01) (footing),Approved Baseline.CON.P02.B01.SUB.F,The Big -P.01-UP-20-April-26,3.0,3.0,22-Dec-25,24-Dec-25,22-Dec-25,24-Dec-25,0.0,0.0,0.0,0.0,0.0,0.0,"CON-B01-FOOT-1090, CON-B01-FOOT-1080","CON-B01-FOOT-1110, CON-B01-BAS02-1000",0.0,0%,Yes,Yes
0.0,CON-B04-WT-1130,Pouring for Walls (B04) (Water Tank),Approved Baseline.CON.P01.B04.SUB.3.2,The Big -P.01-UP-20-April-26,2.0,2.0,22-Dec-25,23-Dec-25,22-Dec-25,23-Dec-25,0.0,0.0,0.0,0.0,0.0,0.0,"CON-B04-WT-1110, P-MDEL-1030, CON-B04-WT-1120","CON-B04-WT-1140, AB-SUB-B04-WT-1030, CON-B04-WT-1140",0.0,0%,Yes,Yes
0.0,CON-B04-WT-1140,Curing & Deshuttering for Walls (B04) (Water Tank),Approved Baseline.CON.P01.B04.SUB.3.2,The Big -P.01-UP-20-April-26,5.0,5.0,22-Dec-25,26-Dec-25,22-Dec-25,26-Dec-25,0.0,0.0,0.0,0.0,0.0,0.0,"CON-B04-WT-1130, CON-B04-WT-1130","CON-B04-WT-1150, CON-B04-WT-1200, CON-EW-B04-1000",0.0,0%,Yes,Yes
0.0,CON-B03-FOOT-1000,Shuttering for PC Raft (B03) (footing),Approved Baseline.CON.P01.B03.SUB.F,The Big -P.01-UP-20-April-26,1.0,1.0,25-Dec-25,25-Dec-25,25-Dec-25,25-Dec-25,0.0,0.0,0.0,0.0,0.0,0.0,"E-APP-B03-FOOT-1010, CON-EW-B03-1010, P-MDEL-1020","CON-B03-FOOT-1010, AB-SUB-B03-FOOT-1000",0.0,0%,Yes,Yes
0.0,CON-B01-BAS02-1000,"Scaffolding works for Walls, Col. & Cores (B01) (Bas 02)",Approved Baseline.CON.P02.B01.SUB.2ndB,The Big -P.01-UP-20-April-26,7.0,7.0,25-Dec-25,1-Jan-26,25-Dec-25,1-Jan-26,0.0,0.0,0.0,0.0,0.0,0.0,CON-B01-FOOT-1100,"CON-B01-BAS02-1010, CON-B01-BAS02-1010",0.0,0%,Yes,Yes
0.0,CON-B01-BAS02-1010,"RFT for Walls, Col. & Cores (B01) (Bas 02)",Approved Baseline.CON.P02.B01.SUB.2ndB,The Big -P.01-UP-20-April-26,15.0,15.0,25-Dec-25,12-Jan-26,25-Dec-25,12-Jan-26,0.0,0.0,0.0,0.0,0.0,1.0,"CON-B01-BAS02-1000, CON-B01-BAS02-1000, E-APP-B01-BAS02-1000, P-MDEL-1170","CON-B01-BAS02-1020, CON-B01-BAS02-1020",1.0,0%,Yes,Yes
0.0,CON-B03-FOOT-1010,Pouring for PC Raft (B03) (footing),Approved Baseline.CON.P01.B03.SUB.F,The Big -P.01-UP-20-April-26,1.0,1.0,27-Dec-25,27-Dec-25,27-Dec-25,27-Dec-25,0.0,0.0,0.0,0.0,0.0,0.0,"CON-B03-FOOT-1000, P-MDEL-1030","CON-B03-FOOT-1020, AB-SUB-B03-FOOT-1000",0.0,0%,Yes,Yes
