Actual Duration,Activity ID,Activity Name,WBS,project_id,Original Duration,Remaining Duration,BL Project Start,BL Project Finish,Start,Finish,Free Float,Total Float,Variance - BL1 Nonlabor Units,Variance - BL Project Nonlabor Units,Actual Nonlabor Units,Remaining Nonlabor Units,Predecessors,Successors,Budgeted Nonlabor Units,Activity % Complete,Critical,Longest Path
0,CON-B03-1ST-1060,"Pouring for Slabs, Beams & Stairs (B03) (1st)",The Big - P.01 - UP-24-MAY-26.CON.P01.B03.SUP.1stF,The Big -P.01-UP-20-April-26,3,3,20-Jul-26,22-Jul-26,28-Oct-26,31-Oct-26,0.0,-83.0,0,0,0.0,0.0,"CON-B03-1ST-1050, P-MDEL-1030","CON-B03-1ST-1070, CON-B03-1ST-1080, AB-SUB-B03-1ST-1010, AB-SUB-B03-1ST-1020, AB-SUB-B03-1ST-1030",0,0%,Yes,No
0,CON-B04-2ND-1050,"RFT for Slabs, Beams & Stairs (B04) (2nd)",The Big - P.01 - UP-24-MAY-26.CON.P01.B04.SUP.2ndF,The Big -P.01-UP-20-April-26,10,10,20-Jul-26,1-Aug-26,12-Nov-26,23-Nov-26,0.0,-96.0,0,0,0.0,0.0,"CON-B04-2ND-1040, CON-B04-2ND-1040, E-APP-B04-2ND-1010, E-APP-B04-2ND-1020, E-APP-B04-2ND-1030, P-MDEL-1110",CON-B04-2ND-1060,0,0%,Yes,No
0,CON-B01-3RD-1010,"RFT for Walls, Col. & Cores (B01) (3rd)",The Big - P.01 - UP-24-MAY-26.CON.P02.B01.SUP.3rdF,The Big -P.01-UP-20-April-26,7,7,25-Jul-26,1-Aug-26,1-Dec-26,8-Dec-26,0.0,-109.0,0,0,0.0,1.0,"CON-B01-3RD-1000, CON-B01-3RD-1000, E-APP-B01-3ED-1000, E-APP-B01-3ED-1010, E-APP-B01-3ED-1020, E-APP-B01-3ED-1030, P-MDEL-1100","CON-B01-3RD-1020, CON-B01-3RD-1020",1,0%,Yes,Yes
0,CON-B01-3RD-1020,"Shuttering for Walls, Col. & Cores (B01) (3rd)",The Big - P.01 - UP-24-MAY-26.CON.P02.B01.SUP.3rdF,The Big -P.01-UP-20-April-26,7,7,28-Jul-26,4-Aug-26,5-Dec-26,12-Dec-26,0.0,-109.0,0,0,0.0,0.0,"CON-B01-3RD-1010, CON-B01-3RD-1010, E-APP-B01-3ED-1000",CON-B01-3RD-1030,0,0%,Yes,Yes
0,CON-B04-2ND-1060,"Pouring for Slabs, Beams & Stairs (B04) (2nd)",The Big - P.01 - UP-24-MAY-26.CON.P01.B04.SUP.2ndF,The Big -P.01-UP-20-April-26,3,3,2-Aug-26,4-Aug-26,24-Nov-26,26-Nov-26,0.0,-96.0,0,0,0.0,0.0,"CON-B04-2ND-1050, P-MDEL-1030","CON-B04-2ND-1070, CON-B04-2ND-1080, AB-SUB-B04-2ND-1010, AB-SUB-B04-2ND-1020, AB-SUB-B04-2ND-1030",0,0%,Yes,No
0,CON-B01-3RD-1030,"Pouring for Walls, Col. & Cores (B01) (3rd)",The Big - P.01 - UP-24-MAY-26.CON.P02.B01.SUP.3rdF,The Big -P.01-UP-20-April-26,2,2,5-Aug-26,6-Aug-26,13-Dec-26,14-Dec-26,0.0,-109.0,0,0,0.0,0.0,"CON-B01-3RD-1020, P-MDEL-1030","CON-B01-3RD-1040, AB-SUB-B01-3RD-1000",0,0%,Yes,Yes
0,CON-B04-2ND-1070,"Curing for Slabs, Beams & Stairs (B04) (2nd)",The Big - P.01 - UP-24-MAY-26.CON.P01.B04.SUP.2ndF,The Big -P.01-UP-20-April-26,3,3,5-Aug-26,7-Aug-26,27-Nov-26,29-Nov-26,0.0,-114.0,0,0,0.0,0.0,CON-B04-2ND-1060,CON-B04-3RD-1000,0,0%,Yes,No
0,CON-B01-3RD-1040,"Shuttering for Slabs, Beams & Stairs (B01) (3rd)",The Big - P.01 - UP-24-MAY-26.CON.P02.B01.SUP.3rdF,The Big -P.01-UP-20-April-26,10,10,8-Aug-26,18-Aug-26,15-Dec-26,26-Dec-26,0.0,-109.0,0,0,0.0,0.0,"E-APP-B01-3ED-1030, E-APP-B01-3ED-1020, E-APP-B01-3ED-1010, CON-B01-3RD-1030, CON-B01-2ND-1080","CON-B01-3RD-1050, CON-B01-3RD-1050",0,0%,Yes,Yes
0,CON-B03-2ND-1000,"Scaffolding works for Walls, Col. & Cores (B03) (2nd)",The Big - P.01 - UP-24-MAY-26.CON.P01.B03.SUP.2ndF,The Big -P.01-UP-20-April-26,5,5,8-Aug-26,12-Aug-26,16-Nov-26,21-Nov-26,0.0,-84.0,0,0,0.0,0.0,CON-B03-1ST-1070,"CON-B03-2ND-1010, CON-B03-2ND-1010",0,0%,Yes,No
0,CON-B04-3RD-1000,"Scaffolding works for Walls, Col. & Cores (B04) (3rd)",The Big - P.01 - UP-24-MAY-26.CON.P01.B04.SUP.3rdF,The Big -P.01-UP-20-April-26,5,5,8-Aug-26,12-Aug-26,30-Nov-26,5-Dec-26,0.0,-96.0,0,0,0.0,0.0,CON-B04-2ND-1070,"CON-B04-3RD-1010, CON-B04-3RD-1010",0,0%,Yes,No
