project_id,activity_id,activity_name,predecessor_details,successor_details,activity_status,total_float,original_duration,bl_project_start,bl_project_finish,start,finish,schedule_%_complete,activity_%_complete,performance_%_complete,budgeted_total_cost,earned_value_cost
The Big -P.01-UP-20-April-26,con-b01-7th-1050,"rft_for_slabs,_beams_&_stairs_(b01)_(7th)","con-b01-7th-1040:_ss_3,_con-b01-7th-1040:_ff,_e-app-b01-7th-1010:_fs,_e-app-b01-7th-1020:_fs,_e-app-b01-7th-1030:_fs,_p-mdel-1190:_fs",con-b01-7th-1060:_fs,not_started,-98.0,9,6-Jan-27,17-Jan-27,5-May-27,16-May-27,0.0,0.0,0.0,1250029.31,0.0
The Big -P.01-UP-20-April-26,con-b01-8th-1010,"rft_for_walls,_col._&_cores_(b01)_(8th)","con-b01-8th-1000:_ss_2,_con-b01-8th-1000:_ff,_e-app-b01-8th-1000:_fs,_p-mdel-1180:_fs","con-b01-8th-1020:_ss_2,_con-b01-8th-1020:_ff",not_started,-98.0,5,23-Jan-27,28-Jan-27,20-May-27,26-May-27,0.0,0.0,0.0,460777.03,0.0
The Big -P.01-UP-20-April-26,con-b01-8th-1050,"rft_for_slabs,_beams_&_stairs_(b01)_(8th)","con-b01-8th-1040:_ss_2,_con-b01-8th-1040:_ff,_e-app-b01-8th-1010:_fs,_e-app-b01-8th-1020:_fs,_e-app-b01-8th-1030:_fs,_p-mdel-1180:_fs",con-b01-8th-1060:_fs,not_started,-98.0,8,7-Feb-27,15-Feb-27,3-Jun-27,13-Jun-27,0.0,0.0,0.0,1181141.71,0.0
The Big -P.01-UP-20-April-26,con-b01-9th-1010,"rft_for_walls,_col._&_cores_(b01)_(rf)","con-b01-9th-1000:_fs,_e-app-b01-rf-1000:_fs,_p-mdel-1200:_fs",con-b01-9th-1020:_fs,not_started,-97.0,2,22-Feb-27,23-Feb-27,20-Jun-27,21-Jun-27,0.0,0.0,0.0,159193.84,0.0
The Big -P.01-UP-20-April-26,con-b01-9th-1050,"rft_for_slabs,_beams_(b01)_(rf)","con-b01-9th-1040:_ss_1,_con-b01-9th-1040:_ff,_e-app-b01-rf-1010:_fs,_e-app-b01-rf-1020:_fs,_p-mdel-1200:_fs",con-b01-9th-1060:_fs,not_started,-97.0,3,28-Feb-27,2-Mar-27,26-Jun-27,28-Jun-27,0.0,0.0,0.0,151645.08,0.0
The Big -P.01-UP-20-April-26,con-b02-foot-1050,rft_for_rc_raft_&_footings_(b02)_(footing),"con-b02-foot-1040:_ss_2,_e-app-b02-foot-1020:_fs,_con-b02-foot-1040:_ff,_p-mdel-1000:_fs","con-b02-foot-1090:_fs,_ab-sub-b02-foot-1020:_fs",completed,,10,20-Dec-25,30-Dec-25,17-Jan-26,21-Jan-26,1.0,1.0,1.0,6313254.79,6313254.79
The Big -P.01-UP-20-April-26,con-b02-foot-1070,rft_for_columns_&_walls_below_sog_(b02)_(footing),"con-b02-foot-1060:_ss_1,_con-b02-foot-1060:_ff,_e-app-b02-foot-1020:_fs,_p-mdel-1000:_fs",con-b02-foot-1080:_fs,completed,,6,23-Dec-25,29-Dec-25,28-Jan-26,4-Mar-26,1.0,1.0,1.0,98560.62,98560.62
The Big -P.01-UP-20-April-26,con-b02-bas02-1010,"rft_for_walls,_col._&_cores_(b02)_(bas_02)","con-b02-bas02-1000:_ss,_con-b02-bas02-1000:_ff,_e-app-b02-bas02-1000:_fs,_p-mdel-1170:_fs","con-b02-bas02-1020:_ss_3,_con-b03-bas02-1010:_fs,_con-b02-bas02-1020:_ff",not_started,-86.0,12,5-Jan-26,19-Jan-26,23-Apr-26,6-May-26,1.0,0.0,0.0,856371.15,0.0
The Big -P.01-UP-20-April-26,con-b02-bas02-1060,rft_for_slabs_&_beams_(b02)_(bas_02),"con-b02-bas02-1040:_ss_2,_con-b02-bas02-1040:_ff,_e-app-b02-bas02-1020:_fs,_e-app-b02-bas02-1030:_fs,_p-mdel-1170:_fs","con-b03-bas02-1060:_fs,_con-b02-bas02-1100:_fs",not_started,-83.0,10,29-Jan-26,9-Feb-26,16-May-26,26-May-26,1.0,0.0,0.0,1930616.77,0.0
The Big -P.01-UP-20-April-26,con-b02-bas02-1070,rft_for_stairs_(b02)_(bas_02),"con-b02-bas02-1050:_ss_2,_con-b02-bas02-1050:_ff,_e-app-b02-bas02-1010:_fs,_p-mdel-1170:_fs","con-b03-bas02-1070:_fs,_con-b02-bas02-1080:_fs,_ab-sub-b02-bas2-1010:_fs",not_started,-86.0,6,1-Feb-26,7-Feb-26,18-May-26,24-May-26,1.0,0.0,0.0,30854.95,0.0
The Big -P.01-UP-20-April-26,con-b02-sog-1040,shuttering_&_rft_for_s.o.g_(b02)_(sog),"con-b02-sog-1030:_ss_5,_con-b02-sog-1030:_ff,_con-b01-sog-1040:_fs,_e-app-b02-sog-1010:_fs,_e-app-b02-sog-1000:_fs,_e-app-b02-sog-1010:_ff,_p-mdel-1150:_fs","con-b02-sog-1050:_ss_7,_con-b02-sog-1050:_ff,_ab-sub-b02-sog-1000:_fs,_ab-sub-b02-sog-1010:_fs",not_started,114.0,15,25-May-26,15-Jun-26,27-Sep-26,15-Oct-26,0.0,0.0,0.0,779299.06,0.0
The Big -P.01-UP-20-April-26,con-b02-bas01-1010,"rft_for_walls,_col._&_cores_(b02)_(bas_01)","con-b02-bas01-1000:_ss,_con-b02-bas01-1000:_ff,_e-app-b02-bas01-1000:_fs,_p-mdel-1160:_fs","con-b02-bas01-1020:_ss_2,_con-b03-bas01-1010:_fs,_con-b02-bas01-1020:_ff",not_started,-82.0,12,15-Feb-26,28-Feb-26,1-Jun-26,14-Jun-26,1.0,0.0,0.0,660501.51,0.0
The Big -P.01-UP-20-April-26,con-b02-bas01-1060,rft_for_slabs_&_beams_(b02)_(bas_01),"con-b02-bas01-1040:_ss_2,_con-b02-bas01-1040:_ff,_e-app-b02-bas01-1020:_fs,_e-app-b02-bas01-1030:_fs,_p-mdel-1160:_fs","con-b03-bas01-1050:_fs,_con-b02-bas01-1090:_fs",not_started,-82.0,10,8-Mar-26,23-Mar-26,22-Jun-26,4-Jul-26,1.0,0.0,0.0,2217753.89,0.0
The Big -P.01-UP-20-April-26,con-b02-bas01-1070,rft_for_stairs_(b02)_(bas_01),"con-b02-bas01-1050:_ss_2,_con-b02-bas01-1050:_ff,_e-app-b02-bas01-1010:_fs,_p-mdel-1160:_fs","con-b03-bas01-1070:_fs,_con-b02-bas01-1080:_fs",not_started,-79.0,6,10-Mar-26,21-Mar-26,24-Jun-26,1-Jul-26,1.0,0.0,0.0,30854.95,0.0
The Big -P.01-UP-20-April-26,con-b02-gr-1010,"rft_for_walls,_col._&_cores_(b02)_(gr)","con-b02-gr-1000:_ss,_con-b02-gr-1000:_ff,_e-app-b02-gr-1000:_fs,_p-mdel-1130:_fs","con-b02-gr-1020:_ss_2,_con-b02-gr-1020:_ff",not_started,-78.0,12,30-Mar-26,12-Apr-26,11-Jul-26,25-Jul-26,1.0,0.0,0.0,491156.73,0.0
The Big -P.01-UP-20-April-26,con-b02-gr-1070,rft_for_stairs_(b02)_(gr),"con-b02-gr-1050:_ss_2,_con-b02-gr-1050:_ff,_e-app-b02-gr-1010:_fs,_p-mdel-1130:_fs",con-b02-gr-1080:_fs,not_started,-69.0,8,22-Apr-26,30-Apr-26,3-Aug-26,11-Aug-26,0.0,0.0,0.0,61713.97,0.0
The Big -P.01-UP-20-April-26,con-b02-gr-1060,rft_for_slabs_&_beams_(b02)_(gr),"con-b02-gr-1040:_ss_2,_con-b02-gr-1040:_ff,_e-app-b02-gr-1020:_fs,_e-app-b02-gr-1030:_fs,_p-mdel-1130:_fs",con-b02-gr-1100:_fs,not_started,-81.0,12,26-Apr-26,9-May-26,5-Aug-26,18-Aug-26,0.0,0.0,0.0,1887885.37,0.0
The Big -P.01-UP-20-April-26,con-b02-1st-1010,"rft_for_walls,_col._&_cores_(b02)_(1st)","con-b02-1st-1000:_ss_3,_con-b02-1st-1000:_ff,_e-app-b02-1st-1000:_fs,_p-mdel-1120:_fs","con-b02-1st-1020:_ss_3,_con-b02-1st-1020:_ff",not_started,-72.0,10,4-Jun-26,15-Jun-26,12-Sep-26,22-Sep-26,0.0,0.0,0.0,290453.31,0.0
The Big -P.01-UP-20-April-26,con-b02-1st-1050,"rft_for_slabs,_beams_&_stairs_(b02)_(1st)","con-b02-1st-1040:_ss_4,_con-b02-1st-1040:_ff,_e-app-b02-1st-1010:_fs,_e-app-b02-1st-1020:_fs,_e-app-b02-1st-1030:_fs,_p-mdel-1120:_fs",con-b02-1st-1060:_fs,not_started,-72.0,12,27-Jun-26,11-Jul-26,4-Oct-26,18-Oct-26,0.0,0.0,0.0,1677255.18,0.0
The Big -P.01-UP-20-April-26,con-b02-2nd-1010,"rft_for_walls,_col._&_cores_(b02)_(2nd)","con-b02-2nd-1000:_ss_2,_con-b02-2nd-1000:_ff,_e-app-b02-2nd-1000:_fs,_p-mdel-1110:_fs","con-b02-2nd-1020:_ss_3,_con-b02-2nd-1020:_ff",not_started,-72.0,12,30-Jul-26,12-Aug-26,7-Nov-26,19-Nov-26,0.0,0.0,0.0,290453.31,0.0
The Big -P.01-UP-20-April-26,con-b02-2nd-1050,"rft_for_slabs,_beams_&_stairs_(b02)_(2nd)","con-b02-2nd-1040:_ss_4,_con-b02-2nd-1040:_ff,_e-app-b02-2nd-1010:_fs,_e-app-b02-2nd-1020:_fs,_e-app-b02-2nd-1030:_fs,_p-mdel-1110:_fs",con-b02-2nd-1060:_fs,not_started,-72.0,15,24-Aug-26,10-Sep-26,1-Dec-26,17-Dec-26,0.0,0.0,0.0,1663672.33,0.0
The Big -P.01-UP-20-April-26,con-b02-3rd-1010,"rft_for_walls,_col._&_cores_(b02)_(3rd)","con-b02-3rd-1000:_ss_2,_con-b02-3rd-1000:_ff,_e-app-b02-3rd-1000:_fs,_p-mdel-1100:_fs","con-b02-3rd-1020:_ss_3,_con-b02-3rd-1020:_ff",not_started,-73.0,12,30-Sep-26,14-Oct-26,6-Jan-27,20-Jan-27,0.0,0.0,0.0,287345.88,0.0
The Big -P.01-UP-20-April-26,con-b02-3rd-1050,"rft_for_slabs,_beams_&_stairs_(b02)_(3rd)","con-b02-3rd-1040:_ss_4,_con-b02-3rd-1040:_ff,_e-app-b02-3rd-1010:_fs,_e-app-b02-3rd-1020:_fs,_e-app-b02-3rd-1030:_fs,_p-mdel-1100:_fs",con-b02-3rd-1060:_fs,not_started,-73.0,15,26-Oct-26,11-Nov-26,2-Feb-27,18-Feb-27,0.0,0.0,0.0,1375590.95,0.0
The Big -P.01-UP-20-April-26,con-b02-4th-1010,"rft_for_walls,_col._&_cores_(b02)_(4th)","con-b02-4th-1000:_ss_2,_con-b02-4th-1000:_ff,_e-app-b02-4th-1000:_fs,_p-mdel-1090:_fs","con-b02-4th-1020:_ss_3,_con-b02-4th-1020:_ff",not_started,-73.0,12,1-Dec-26,14-Dec-26,14-Mar-27,27-Mar-27,0.0,0.0,0.0,287345.88,0.0
The Big -P.01-UP-20-April-26,con-b02-4th-1050,"rft_for_slabs,_beams_&_stairs_(b02)_(4th)","con-b02-4th-1040:_ss_3,_con-b02-4th-1040:_ff,_e-app-b02-4th-1010:_fs,_e-app-b02-4th-1020:_fs,_e-app-b02-4th-1030:_fs,_p-mdel-1090:_fs",con-b02-4th-1060:_fs,not_started,-73.0,15,24-Dec-26,11-Jan-27,6-Apr-27,22-Apr-27,0.0,0.0,0.0,1396302.87,0.0
The Big -P.01-UP-20-April-26,con-b02-rf-1010,"rft_for_walls,_col._&_cores_(b02)_(rf)","con-b02-rf-1000:_fs,_e-app-b02-rf-1000:_fs,_p-mdel-1200:_fs",con-b02-rf-1020:_fs,not_started,-73.0,3,31-Jan-27,2-Feb-27,12-May-27,15-May-27,0.0,0.0,0.0,98462.88,0.0
The Big -P.01-UP-20-April-26,con-b02-rf-1050,"rft_for_slabs,_beams_(b02)_(rf)","con-b02-rf-1040:_fs,_e-app-b02-rf-1010:_fs,_e-app-b02-rf-1020:_fs,_p-mdel-1200:_fs",con-b02-rf-1060:_fs,not_started,-73.0,4,14-Feb-27,17-Feb-27,26-May-27,30-May-27,0.0,0.0,0.0,135611.77,0.0
The Big -P.01-UP-20-April-26,con-b04-foot-1050,rft_for_rc_raft_&_footings_(b04)_(footing),"con-b04-foot-1040:_ss_1,_e-app-b04-foot-1030:_fs,_con-b04-foot-1040:_ff,_p-mdel-1000:_fs","con-b04-foot-1080:_fs,_ab-sub-b04-foot-1020:_fs",in_progress,-69.0,8,15-Jan-26,24-Jan-26,10-Mar-26,25-Apr-26,1.0,0.6,0.6,12042079.29,7225247.57
The Big -P.01-UP-20-April-26,con-b04-foot-1070,rft_for_columns_&_walls_below_sog_(b04)_(footing),"con-b04-foot-1060:_ss_1,_con-b04-foot-1060:_ff,_e-app-b04-foot-1030:_fs,_p-mdel-1000:_fs",con-b04-foot-1090:_fs,in_progress,-69.0,5,21-Jan-26,27-Jan-26,10-Mar-26,23-Apr-26,1.0,0.5,0.5,127645.88,63822.94
The Big -P.01-UP-20-April-26,con-b04-bas02-1010,"rft_for_walls,_col._&_cores_(b04)_(bas_02)","con-b04-bas02-1000:_ss,_con-b04-bas02-1000:_ff,_e-app-b04-bas02-1000:_fs,_p-mdel-1170:_fs","con-b04-bas02-1020:_ss_6,_ab-sub-b04-bas2-1000:_fs,_con-b04-bas02-1020:_ff",not_started,-70.0,10,1-Feb-26,11-Feb-26,29-Apr-26,11-May-26,1.0,0.0,0.0,1998244.03,0.0
